#abscisse               ordonnée
   0.0000000000000000        0.0000000000000000     
  0.10000000000000001        2.9717135167297477E-002
  0.20000000000000001        5.6524570600223312E-002
  0.30000000000000004        7.7798070884372197E-002
  0.40000000000000002        9.1455856199696900E-002
  0.50000000000000000        9.6161871434348012E-002
  0.60000000000000009        9.1455856199696900E-002
  0.70000000000000007        7.7798070884372197E-002
  0.80000000000000004        5.6524570600223319E-002
  0.90000000000000002        2.9717135167297487E-002
   1.0000000000000000        0.0000000000000000     
