#abscisse               ordonnée
   0.0000000000000000        0.0000000000000000     
   2.0040080160320640E-003   0.0000000000000000     
   4.0080160320641279E-003  -3.9999518904067863E-006
   6.0120240480961915E-003  -1.1991807478418923E-005
   8.0160320641282558E-003  -2.3967518571209119E-005
   1.0020040080160320E-002  -3.9919036975933974E-005
   1.2024048096192383E-002  -5.9838314499821075E-005
   1.4028056112224447E-002  -8.3717302949945713E-005
   1.6032064128256512E-002  -1.1154795413358663E-004
   1.8036072144288574E-002  -1.4332221985812374E-004
   2.0040080160320640E-002  -1.7903205193044950E-004
   2.2044088176352703E-002  -2.1866940215769097E-004
   2.4048096192384766E-002  -2.6222622234697054E-004
   2.6052104208416832E-002  -3.0969446430622910E-004
   2.8056112224448895E-002  -3.6106607984171544E-004
   3.0060120240480961E-002  -4.1633302076137034E-004
   3.2064128256513023E-002  -4.7548723887114831E-004
   3.4068136272545090E-002  -5.3852068597992837E-004
   3.6072144288577149E-002  -6.0542531389368322E-004
   3.8076152304609215E-002  -6.7619307441936071E-004
   4.0080160320641281E-002  -7.5081591936574765E-004
   4.2084168336673340E-002  -8.2928580053879858E-004
   4.4088176352705406E-002  -9.1159466974538757E-004
   4.6092184368737472E-002  -9.9773447879408089E-004
   4.8096192384769532E-002  -1.0876971794899870E-003
   5.0100200400801598E-002  -1.1814747236428488E-003
   5.2104208416833664E-002  -1.2790590630579962E-003
   5.4108216432865730E-002  -1.3804421495424869E-003
   5.6112224448897789E-002  -1.4856159349050709E-003
   5.8116232464929855E-002  -1.5945723709511878E-003
   6.0120240480961921E-002  -1.7073034094895140E-003
   6.2124248496993981E-002  -1.8238010023254158E-003
   6.4128256513026047E-002  -1.9440571012685995E-003
   6.6132264529058113E-002  -2.0680636581231070E-003
   6.8136272545090179E-002  -2.1958126246993063E-003
   7.0140280561122245E-002  -2.3272959528049921E-003
   7.2144288577154297E-002  -2.4625055942425135E-003
   7.4148296593186364E-002  -2.6014335008203997E-003
   7.6152304609218430E-002  -2.7440716243496816E-003
   7.8156312625250496E-002  -2.8904119166337392E-003
   8.0160320641282562E-002  -3.0404463294819843E-003
   8.2164328657314628E-002  -3.1941668146977967E-003
   8.4168336673346680E-002  -3.3515653240975044E-003
   8.6172344689378746E-002  -3.5126338094777177E-003
   8.8176352705410813E-002  -3.6773642226497626E-003
   9.0180360721442879E-002  -3.8457485154249640E-003
   9.2184368737474945E-002  -4.0177786396041991E-003
   9.4188376753507011E-002  -4.1934465469962929E-003
   9.6192384769539063E-002  -4.3727441894088909E-003
   9.8196392785571129E-002  -4.5556635186536146E-003
  0.10020040080160320       -4.7421964865338407E-003
  0.10220440881763526       -4.9323350448500078E-003
  0.10420841683366733       -5.1260711454202091E-003
  0.10621242484969939       -5.3233967400434096E-003
  0.10821643286573146       -5.5243037805350536E-003
  0.11022044088176351       -5.7287842186893997E-003
  0.11222444889779558       -5.9368300063286595E-003
  0.11422845691382764       -6.1484330952553323E-003
  0.11623246492985971       -6.3635854372751490E-003
  0.11823647294589178       -6.5822789841891360E-003
  0.12024048096192384       -6.8045056878124439E-003
  0.12224448897795590       -7.0302574999534561E-003
  0.12424849699398796       -7.2595263724123142E-003
  0.12625250501002003       -7.4923042569988709E-003
  0.12825651302605209       -7.7285831055273965E-003
  0.13026052104208416       -7.9683548697933228E-003
  0.13226452905811623       -8.2116115016094473E-003
  0.13426853707414829       -8.4583449527829736E-003
  0.13627254509018036       -8.7085471751234649E-003
  0.13827655310621242       -8.9622101204384179E-003
  0.14028056112224449       -9.2193257405256187E-003
  0.14228456913827653       -9.4798859872025770E-003
  0.14428857715430859       -9.7438828122770830E-003
  0.14629258517034066       -1.0011308167546926E-002
  0.14829659318637273       -1.0282154004814015E-002
  0.15030060120240479       -1.0556412275916749E-002
  0.15230460921843686       -1.0834074932626428E-002
  0.15430861723446893       -1.1115133926773805E-002
  0.15631262525050099       -1.1399581210153718E-002
  0.15831663326653306       -1.1687408734581030E-002
  0.16032064128256512       -1.1978608451855291E-002
  0.16232464929859719       -1.2273172313784888E-002
  0.16432865731462926       -1.2571092272179963E-002
  0.16633266533066132       -1.2872360278854788E-002
  0.16833667334669336       -1.3176968285600674E-002
  0.17034068136272543       -1.3484908244234246E-002
  0.17234468937875749       -1.3796172106562121E-002
  0.17434869739478956       -1.4110751824386791E-002
  0.17635270541082163       -1.4428639349535477E-002
  0.17835671342685369       -1.4749826633797727E-002
  0.18036072144288576       -1.5074305628973092E-002
  0.18236472945891782       -1.5402068286868190E-002
  0.18436873747494989       -1.5733106559315535E-002
  0.18637274549098196       -1.6067412398102911E-002
  0.18837675350701402       -1.6404977755041638E-002
  0.19038076152304609       -1.6745794581950701E-002
  0.19238476953907813       -1.7089854830602567E-002
  0.19438877755511019       -1.7437150452850363E-002
  0.19639278557114226       -1.7787673400475389E-002
  0.19839679358717432       -1.8141415625268959E-002
  0.20040080160320639       -1.8498369079071247E-002
