#abscisse               ordonnée
   0.0000000000000000        0.0000000000000000     
   2.4520000000000000E-004  -2.3483703073537884E-005
   4.9039999999999999E-004  -4.6967407390204341E-005
   7.3559999999999999E-004  -7.0451101023932933E-005
   9.8079999999999999E-004  -9.3934778331777053E-005
   1.2260000000000001E-003  -1.1741843496583897E-004
   1.4712000000000000E-003  -1.4090205362535951E-004
   1.7163999999999999E-003  -1.6438564201265356E-004
   1.9616000000000000E-003  -1.8786916901785813E-004
   2.2068000000000001E-003  -2.1135265718722298E-004
   2.4520000000000002E-003  -2.3483607261258165E-004
   2.6971999999999999E-003  -2.5831940306949409E-004
   2.9424000000000000E-003  -2.8180267213999557E-004
   3.1876000000000001E-003  -3.0528583662887000E-004
   3.4327999999999997E-003  -3.2876891441234007E-004
   3.6779999999999998E-003  -3.5225186798786077E-004
   3.9232000000000000E-003  -3.7573474835509547E-004
   4.1684000000000001E-003  -3.9921748366556230E-004
   4.4136000000000002E-003  -4.2270008409257468E-004
   4.6588000000000003E-003  -4.4618256699447843E-004
   4.9040000000000004E-003  -4.6966489373345704E-004
   5.1491999999999996E-003  -4.9314707268000295E-004
   5.3943999999999997E-003  -5.1662907933463023E-004
   5.6395999999999998E-003  -5.4011092704788909E-004
   5.8847999999999999E-003  -5.6359257030599809E-004
   6.1300000000000000E-003  -5.8707411353693727E-004
   6.3752000000000001E-003  -6.1055536142833196E-004
   6.6204000000000002E-003  -6.3403646157043577E-004
   6.8655999999999995E-003  -6.5751738102520958E-004
   7.1107999999999996E-003  -6.8099800816558446E-004
   7.3559999999999997E-003  -7.0447844447727402E-004
   7.6011999999999998E-003  -7.2795865351116186E-004
   7.8463999999999999E-003  -7.5143861247738760E-004
   8.0915999999999991E-003  -7.7491837476433944E-004
   8.3368000000000001E-003  -7.9839781202117584E-004
   8.5819999999999994E-003  -8.2187701220072182E-004
   8.8272000000000003E-003  -8.4535596612603443E-004
   9.0723999999999996E-003  -8.6883459260612202E-004
   9.3176000000000005E-003  -8.9231290857051053E-004
   9.5627999999999998E-003  -9.1579096965367548E-004
   9.8080000000000007E-003  -9.3926873356797573E-004
   1.0053200000000000E-002  -9.6274616007837536E-004
   1.0298399999999999E-002  -9.8622326074777693E-004
   1.0543600000000000E-002  -1.0097000650998028E-003
   1.0788799999999999E-002  -1.0331765087682983E-003
   1.1034000000000000E-002  -1.0566526028200161E-003
   1.1279200000000000E-002  -1.0801283152530551E-003
   1.1524400000000001E-002  -1.1036036754153359E-003
   1.1769600000000000E-002  -1.1270787963686582E-003
   1.2014799999999999E-002  -1.1505533825389160E-003
   1.2260000000000000E-002  -1.1740276545771434E-003
   1.2505199999999999E-002  -1.1975014855314368E-003
   1.2750400000000000E-002  -1.2209748945690960E-003
   1.2995600000000000E-002  -1.2444479733046030E-003
   1.3240800000000000E-002  -1.2679206973895180E-003
   1.3486000000000000E-002  -1.2913927914348466E-003
   1.3731199999999999E-002  -1.3148645733703161E-003
   1.3976400000000000E-002  -1.3383359588575304E-003
   1.4221599999999999E-002  -1.3618068431433875E-003
   1.4466800000000000E-002  -1.3852772238790718E-003
   1.4711999999999999E-002  -1.4087471824339145E-003
   1.4957200000000000E-002  -1.4322166051749237E-003
   1.5202400000000000E-002  -1.4556856637132104E-003
   1.5447600000000001E-002  -1.4791541363114837E-003
   1.5692800000000000E-002  -1.5026221653920170E-003
   1.5938000000000001E-002  -1.5260896113935684E-003
   1.6183199999999998E-002  -1.5495566381943883E-003
   1.6428399999999999E-002  -1.5730230943217234E-003
   1.6673600000000000E-002  -1.5964891048965827E-003
   1.6918800000000001E-002  -1.6199544262415814E-003
   1.7163999999999999E-002  -1.6434193107932669E-003
   1.7409200000000000E-002  -1.6668835720176959E-003
   1.7654400000000001E-002  -1.6903473445573913E-003
   1.7899599999999998E-002  -1.7138104961479334E-003
   1.8144799999999999E-002  -1.7372730738414008E-003
   1.8390000000000000E-002  -1.7607351233085082E-003
   1.8635200000000001E-002  -1.7841964481952871E-003
   1.8880399999999999E-002  -1.8076572192501335E-003
   1.9125600000000000E-002  -1.8311175419517996E-003
   1.9370800000000001E-002  -1.8545769713862283E-003
   1.9616000000000001E-002  -1.8780359389475232E-003
   1.9861199999999999E-002  -1.9014942975071822E-003
   2.0106400000000000E-002  -1.9249519008946278E-003
   2.0351600000000001E-002  -1.9484089913810005E-003
   2.0596799999999998E-002  -1.9718652822112745E-003
   2.0841999999999999E-002  -1.9953210236315980E-003
   2.1087200000000000E-002  -2.0187760569753380E-003
   2.1332400000000001E-002  -2.0422302607988043E-003
   2.1577599999999999E-002  -2.0656840081359016E-003
   2.1822800000000000E-002  -2.0891369276289269E-003
   2.2068000000000001E-002  -2.1125891270510214E-003
   2.2313199999999998E-002  -2.1360406460571349E-003
   2.2558399999999999E-002  -2.1594914317133161E-003
   2.2803600000000000E-002  -2.1829414608761258E-003
   2.3048800000000001E-002  -2.2063908045909441E-003
   2.3293999999999999E-002  -2.2298393677674605E-003
